year,month,basis
2021,1,80.95
2021,2,302.33
2021,3,253.26
2021,4,158.05
2021,5,10.94
2021,6,67.52
2021,7,34.86
2021,8,63.36
2021,9,48.1
2021,10,53.62
2021,11,58.0
2021,12,9.35
2022,1,-88.05
2022,2,-75.31
2022,3,-87.61
2022,4,-36.26
2022,5,-142.89
2022,6,-97.52
2022,7,-42.14
2022,8,-27.74
2022,9,-90.67
2022,10,0.69
2022,11,-26.32
2022,12,-72.91
2023,1,-143.94
2023,2,-88.8
2023,3,-28.65
2023,4,-68.11
2023,5,-99.55
2023,6,-80.15
2023,7,-72.62
2023,8,-61.78
2023,9,-135.25
2023,10,-93.82
2023,11,-53.05
2023,12,-88.33
2024,1,-59.23
2024,2,3.6
2024,3,-24.52
2024,4,-37.35
2024,5,-50.8
2024,6,-30.84
2024,7,31.39
2024,8,14.0
2024,9,32.68
2024,10,48.61
2024,11,39.57
2024,12,24.95
2025,1,21.89
2025,2,28.89
2025,3,33.05
2025,4,50.9
2025,5,111.21
2025,6,94.2
2025,7,61.87
2025,8,67.67
2025,9,97.45
2025,10,80.71
2025,11,50.0
2025,12,-71.78
2026,1,-132.1
2026,2,-96.07
2026,3,-55.14
2026,4,51.95
